name,location,description,category,historical_period,latitude,longitude,keywords,tourism_season,avg_visit_time,popularity_level,fun_fact,source,pop_num,is_spring,is_summer,is_autumn,is_winter,era_group,region,multiverse_categories,visit_time_num
Blagaj Tekke,blagaj,A Dervish monastery built into a 200m cliff next to the source of the Buna river.,religious,Ottoman,43.2561,17.8931,"monastery, dervish, buna, river, nature",All year,1-2 hours,A,The Buna river spring is one of the largest and most powerful karst springs in Europe.,https://en.wikipedia.org/wiki/Blagaj_Tekke,3,1,1,1,1,Ottoman,Herzegovina,"['religious', 'nature']",1.5
Radimlja Stećci Necropolis,stolac,"One of the most important medieval tombstones (stećci) sites in Bosnia, featuring intricate carvings.",monument,Medieval,43.0847,17.9222,"UNESCO, stećci, medieval, carvings, history",All year,1 hour,A,"The site features 133 tombstones, many with the iconic 'man with a raised hand' relief.",https://en.wikipedia.org/wiki/Radimlja,3,1,1,1,1,Medieval,Herzegovina,"['monument', 'history']",1.0
Vijećnica (City Hall),sarajevo,"The most iconic building in Sarajevo, built in a pseudo-Moorish style, formerly the National Library.",other heritage/leisure,Austro-Hungarian,43.8592,18.4334,"library, architecture, history, Moorish",All year,1-2 hours,A,The building was completely destroyed during the Siege of Sarajevo and reopened in 2014 after restoration.,https://en.wikipedia.org/wiki/Sarajevo_City_Hall,3,1,1,1,1,Modern,Sarajevo Region,"['other heritage/leisure', 'history']",1.5
Počitelj,čapljina,"A historic fortified town on the banks of the Neretva, a living museum of Ottoman architecture.",fortress,Medieval/Ottoman,43.1344,17.7314,"castle, Ottoman, photography, history, town",Spring-Summer,2-3 hours,A,The town's Gavrankapetanović house was one of the first artist colonies in Southeast Europe.,https://en.wikipedia.org/wiki/Počitelj,3,1,1,0,0,Multi-Era,Herzegovina,"['fortress', 'history']",2.5
Jajce Fortress,jajce,"The seat of the last Bosnian kings, overlooking the famous 22-meter high Pliva waterfall.",fortress,Medieval,44.3422,17.268,"castle, kings, waterfall, history, medieval",All year,2 hours,A,Jajce is the only city in the world with a natural waterfall in its very center.,https://en.wikipedia.org/wiki/Jajce_Fortress,3,1,1,1,1,Medieval,Central Bosnia,"['fortress', 'history', 'nature']",2.0
Bobovac,vareš/kakanj,The royal city and residence of Bosnian kings during the medieval period.,fortress,Medieval,44.1167,18.2333,"royalty, medieval, ruins, history, hiking",Spring-Autumn,2 hours,C,"The Bosnian royal crown was kept here for safety due to its strategic, hard-to-reach location.",https://en.wikipedia.org/wiki/Bobovac,1,1,1,1,0,Medieval,Central Bosnia,"['fortress', 'history']",2.0
Tvrđava Srebrenik,srebrenik,"The best-preserved medieval fortress in Bosnia, perched on a steep rock cliff.",fortress,Medieval,44.7033,18.5208,"castle, medieval, preservation, cliff",Spring-Summer,1.5 hours,B,"It was the historical seat of the Ban Stjepan II Kotromanić, who issued the famous charter there in 1333.",https://en.wikipedia.org/wiki/Srebrenik_Fortress,2,1,1,0,0,Medieval,Northern Bosnia,"['fortress', 'history']",1.5
Kozara Monument,kozara national park,A revolutionary monument dedicated to the fallen fighters and civilians of the Battle of Kozara.,monument,Yugoslavia,45.0125,16.9083,"memorial, WWII, brutalism, forest, history",Spring-Autumn,1-2 hours,B,The monument is designed to symbolize the struggle between light and darkness.,https://en.wikipedia.org/wiki/Mrakovica,2,1,1,1,0,Modern,Northern Bosnia,"['monument', 'history']",1.5
Mogorjelo,čapljina,"Remains of a 4th-century Roman villa rustica, one of the most important Roman sites in the country.",monument,Roman,43.1022,17.7011,"Roman, villa, archeology, Čapljina",Spring-Autumn,1 hour,B,The site was originally a private farm and estate before being converted into a fortress.,https://en.wikipedia.org/wiki/Mogorjelo,2,1,1,1,0,Ancient,Herzegovina,"['monument', 'history', 'archaeological']",1.0
Vjetrenica Cave,ravno,"The largest and most important cave in Bosnia and Herzegovina, known for its biodiversity.",nature,Ancient,42.845,17.985,"cave, nature, UNESCO, proteus, ancient",Spring-Autumn,1.5 hours,B,It is the richest cave in the world in terms of subterranean biodiversity.,https://en.wikipedia.org/wiki/Vjetrenica,2,1,1,1,0,Other,Herzegovina,"['nature', 'history']",1.5
Kraljeva Sutjeska,kakanj,The site of a Franciscan monastery and the ruins of a medieval royal court.,religious,Medieval,44.1211,18.2019,"monastery, kings, medieval, history, church",All year,1.5 hours,C,"It was the residence of the last Bosnian Queen, Katarina, who is still mourned by local women wearing black headscarves.",https://en.wikipedia.org,1,1,1,1,1,Medieval,Central Bosnia,"['religious', 'history']",1.5
Partisan Memorial Cemetery,mostar,A monumental necropolis built to honor the Yugoslav partisans from Mostar.,monument,Yugoslavia,43.3425,17.7981,"monument, Mostar, WWII, architecture, cemetery",All year,1 hour,B,"Designed by architect Bogdan Bogdanović, it resembles a stone city with flowered terraces.",https://en.wikipedia.org/wiki/Partisan_Memorial_Cemetery_in_Mostar,2,1,1,1,1,Modern,Herzegovina,['monument'],1.0
Daorson,stolac,The ruins of the ancient capital of the Hellenized Illyrian tribe known as the Daorsi.,archaeological,Ancient,43.0967,17.9583,"Illyrian, ancient city, cyclopean walls, archeology",Spring-Autumn,1.5 hours,C,"The site features massive cyclopean walls built without mortar, similar to Mycenae.",https://en.wikipedia.org/wiki/Daorson,1,1,1,1,0,Other,Herzegovina,"['archaeological', 'history']",1.5
Tešanj Fortress,tešanj,"One of the largest and most significant fortresses in the country, with foundations from the 15th century.",fortress,Medieval/Ottoman,44.6114,17.9861,"castle, medieval, tower, history",All year,1 hour,B,The fortress has a 17-meter high clock tower that is still operational today.,https://en.wikipedia.org/wiki/Tešanj_Fortress,2,1,1,1,1,Multi-Era,Northern Bosnia,"['fortress', 'history']",1.0
Stari Grad Ostrožac,cazin,"A unique castle featuring a mix of medieval, Ottoman, and Neo-Gothic architectural styles.",fortress,Medieval/Austro-Hungarian,44.9125,15.9389,"castle, Cazin, architecture, sculpture park",Spring-Summer,1.5 hours,B,It contains an outdoor sculpture park with works from international artists.,https://en.wikipedia.org/wiki/Ostrožac_Castle,2,1,1,0,0,Multi-Era,Krajina,['fortress'],1.5
Tvrđava Doboj,doboj,A 13th-century fortress that served as a key defensive point in the Bosna river valley.,fortress,Medieval,44.7336,18.0903,"castle, history, Doboj, defense",Spring-Autumn,1 hour,B,The fortress was attacked and besieged over 50 times throughout history.,https://en.wikipedia.org/wiki/Doboj_Fortress,2,1,1,1,0,Medieval,Northern Bosnia,"['fortress', 'history']",1.0
Museum of Contemporary Art (MSURS),banja luka,A leading cultural institution located in the former Banja Luka railway station.,museum,Modern,44.7731,17.1917,"art, museum, modern, Banja Luka",All year,1-2 hours,B,The building itself is a protected national monument of architecture.,https://en.wikipedia.org/wiki/Museum_of_Modern_Art_of_Republika_Srpska,2,1,1,1,1,Modern,Northern Bosnia,['museum'],1.5
Konjic Old Bridge,konjic,A beautiful 17th-century Ottoman bridge that connects the two banks of the Neretva.,monument,Ottoman,43.6517,17.9614,"bridge, Konjic, Neretva, Ottoman",All year,30 min,B,The bridge was destroyed by the retreating German army in 1945 and rebuilt in 2009.,https://www.tripadvisor.com/Attraction_Review-g1931691-d8310418-Reviews-Konjic_Bridge-Konjic_Herzegovina_Neretva_Canton_Federation_of_Bosnia_and_Herzego.html,2,1,1,1,1,Ottoman,Herzegovina,"['monument', 'history']",0.5
Tito's Bunker (ARK D-0),konjic,A secret nuclear bunker built to protect Yugoslav leader Josip Broz Tito and 350 others.,museum,Yugoslavia,43.6339,17.9897,"Cold War, bunker, secret, Tito, Yugoslavia",All year,2 hours,B,"It remained a state secret for decades, known only to a handful of high-ranking officials.",https://en.wikipedia.org/wiki/ARK_D-0,2,1,1,1,1,Modern,Herzegovina,"['museum', 'history']",2.0
Fethija Mosque,bihać,"Originally built as a Catholic church in 1266, it was converted into a mosque in 1592.",religious,Gothic/Ottoman,44.8114,15.8686,"mosque, church, Gothic, history, Bihać",All year,45 min,B,It is one of the few examples of Gothic architecture that was preserved in Bosnia.,https://en.wikipedia.org/wiki/Fethija_Mosque_(Bihać),2,1,1,1,1,Ottoman,Krajina,"['religious', 'history']",0.75
Gradačac Fortress (Gradina),gradačac,"The fortress of Husein Kapetan Gradaščević, known as the 'Dragon of Bosnia'.",fortress,Ottoman,44.8797,18.4286,"castle, Dragon of Bosnia, history, tower",Spring-Autumn,1.5 hours,B,The 18-meter high watchtower offers a panoramic view of the entire Posavina region.,https://en.wikipedia.org/wiki/Gradačac_Fortress,2,1,1,1,0,Ottoman,Northern Bosnia,"['fortress', 'history']",1.5
Travnik Fortress (Stari Grad),travnik,A medieval fortress that became a center of Ottoman administration for the Viziers.,fortress,Medieval/Ottoman,44.2289,17.6719,"castle, Viziers, history, Travnik",All year,1 hour,A,Travnik was the capital of the Ottoman governors (Viziers) of Bosnia for 150 years.,https://en.wikipedia.org/wiki/Travnik_Fortress,3,1,1,1,1,Multi-Era,Central Bosnia,"['fortress', 'history']",1.0
Birth House of Ivo Andrić,travnik,A museum dedicated to the Nobel Prize-winning author of 'The Bridge on the Drina'.,museum,Ottoman,44.2267,17.6667,"literature, museum, Nobel, Andrić",All year,1 hour,B,The museum showcases the authentic interior of a 19th-century Bosnian house.,https://en.wikipedia.org/wiki/Ivo_Andrić,2,1,1,1,1,Ottoman,Central Bosnia,['museum'],1.0
Trebinje Old Town (Kastel),trebinje,"The historic walled center of Trebinje, located on the banks of the Trebišnjica river.",urban heritage,Ottoman,42.7117,18.3456,"old town, river, Trebinje, architecture",Summer,2 hours,A,Trebinje is often called the 'City of Sun and Plane Trees'.,https://en.wikipedia.org/wiki/Trebinje,3,0,1,0,0,Ottoman,Herzegovina,"['urban heritage', 'nature']",2.0
Arslanagić Bridge,trebinje,"A 16th-century Ottoman bridge, moved stone by stone from its original location due to a dam.",monument,Ottoman,42.7153,18.3564,"bridge, Trebinje, engineering, history",All year,30 min,B,The bridge was relocated in 1972 to save it from the rising waters of a hydroelectric lake.,https://en.wikipedia.org/wiki/Arslanagić_Bridge,2,1,1,1,1,Ottoman,Herzegovina,"['monument', 'history']",0.5
War Tunnel Museum (Tunel Spasa),sarajevo,The secret underground tunnel that kept Sarajevo supplied during the 1990s siege.,museum,Modern,43.82,18.3283,"war, siege, tunnel, history, Sarajevo",All year,1.5 hours,A,"The tunnel was the only way for food and medicine to enter the city during the 1,425-day siege.",https://en.wikipedia.org/wiki/Sarajevo_Tunnel,3,1,1,1,1,Modern,Sarajevo Region,"['museum', 'history']",1.5
Latin Bridge,sarajevo,An Ottoman bridge where the assassination of Archduke Franz Ferdinand took place in 1914.,monument,Ottoman,43.8578,18.4289,"bridge, WWI, history, Sarajevo",All year,30 min,A,This site is widely considered the location where World War I was triggered.,https://en.wikipedia.org/wiki/Latin_Bridge,3,1,1,1,1,Ottoman,Sarajevo Region,"['monument', 'history']",0.5
Gazi Husrev-beg Mosque,sarajevo,The largest historical mosque in Bosnia and Herzegovina and one of the most representative Ottoman structures in the Balkans.,religious,Ottoman,43.8591,18.429,"mosque, Ottoman, religion, architecture",All year,1 hour,A,It was the first mosque in the world to receive electric lighting for its interior.,https://en.wikipedia.org/wiki/Gazi_Husrev-beg_Mosque,3,1,1,1,1,Ottoman,Sarajevo Region,"['religious', 'history']",1.0
Srebrenica-Potočari Memorial,srebrenica,A memorial and cemetery complex for the victims of the 1995 Srebrenica genocide.,monument,Modern,44.1581,19.3,"memorial, genocide, history, war",All year,2-3 hours,A,"The memorial contains the names of over 8,000 victims of the genocide.",https://en.wikipedia.org/wiki/Srebrenica-Potočari_Memorial_Center,3,1,1,1,1,Modern,Eastern Bosnia,"['monument', 'history']",2.5
National Museum of Bosnia and Herzegovina,sarajevo,"The oldest modern cultural institution in the country, housing the famous Sarajevo Haggadah.",museum,Austro-Hungarian,43.855,18.4022,"museum, Haggadah, archeology, history",All year,2-3 hours,A,The Sarajevo Haggadah is a 14th-century illuminated manuscript and one of the most valuable items in the museum.,https://en.wikipedia.org/wiki/National_Museum_of_Bosnia_and_Herzegovina,3,1,1,1,1,Modern,Sarajevo Region,"['museum', 'history', 'archaeological']",2.5
Prokoško Lake Katuni,fojnica,"High-altitude shepherd settlements around a glacial lake, showcasing traditional livestock farming.",traditional village,Traditional,43.9583,17.7514,"lake, village, hiking, tradition, mountains",Summer,4 hours,B,"The lake is home to the endemic Triton (Triturus alpestris reiseri), a rare amphibian.",https://en.wikipedia.org/wiki/Prokoško_Lake,2,0,1,0,0,Other,Central Bosnia,"['traditional village', 'nature']",4.0
Umoljani Village,bjelašnica,An ancient mountain village with a dragon legend and unique stone architecture.,traditional village,Medieval,43.6672,18.2258,"hiking, legend, village, dragon, Bjelašnica",Spring-Autumn,3 hours,C,A rock formation above the village is said to be the petrified tail of a legendary dragon.,https://en.wikipedia.org/wiki/Umoljani,1,1,1,1,0,Medieval,Herzegovina,['traditional village'],3.0
Boljuni Stećci Necropolis,stolac,A significant medieval necropolis with high artistic value in its tombstone carvings.,monument,Medieval,43.0306,17.8822,"stećci, medieval, history, Stolac",Spring-Autumn,1 hour,C,The site has the highest number of inscriptions among all medieval necropolises in Bosnia.,https://en.wikipedia.org/wiki/Boljuni,1,1,1,1,0,Medieval,Herzegovina,"['monument', 'history']",1.0
St. Anthony of Padua Monastery,banja luka/petrićevac,A significant Catholic monastery that was visited by Pope John Paul II in 2003.,religious,Modern,44.7864,17.1714,"church, monastery, Catholic, Banja Luka",All year,1 hour,B,The monastery was completely destroyed in 1995 and subsequently rebuilt as a modern architectural piece.,https://en.wikipedia.org/wiki/Petrićevac,2,1,1,1,1,Modern,Northern Bosnia,['religious'],1.0
Ferhadija Mosque,banja luka,"A masterpiece of Ottoman architecture, destroyed in 1993 and painstakingly reconstructed stone by stone.",religious,Ottoman,44.7675,17.1867,"mosque, architecture, restoration, Banja Luka",All year,1 hour,A,"The reconstruction used as many of the original stone fragments as possible, fished out of the river.",https://en.wikipedia.org/wiki/Ferhadija_Mosque_(Banja_Luka),3,1,1,1,1,Ottoman,Northern Bosnia,['religious'],1.0
Atik Mosque,bijeljina,"One of the oldest mosques in Semberija, featuring a unique wooden minaret in its history.",religious,Ottoman,44.7578,19.2197,"mosque, Bijeljina, Ottoman, history",All year,30 min,B,The site also houses several old gravestones (nišani) of significant historical families.,https://en.wikipedia.org/wiki/Atik_Mosque,2,1,1,1,1,Ottoman,Northern Bosnia,"['religious', 'history']",0.5
Livno Wild Horses Plateau,livno,"A vast natural plateau, famous for its wild horses and the production of high-quality Livanjski sir cheese.",nature,Modern,43.85,17.0333,"wild horses, livanjski sir, cheese, food, nature",Spring-Autumn,3-4 hours,B,"The horses are descendants of domestic animals left behind when tractors replaced them in the 1970s. Also,Livanjski sir is a protected national cheese brand, originally made in the 19th century based on a French recipe.",https://en.wikipedia.org/wiki/Wild_horses_of_Livno,2,1,1,1,0,Modern,Central Bosnia,['nature'],3.5
Tvrđava Maglaj,maglaj,A medieval fortress built on a high rock above the Bosna river.,fortress,Medieval,44.5458,18.1039,"castle, Maglaj, history, defense",Spring-Autumn,1 hour,B,The fortress has a distinctive triangular layout adapted to the shape of the rock it sits on.,https://en.wikipedia.org/wiki/Maglaj_Fortress,2,1,1,1,0,Medieval,Central Bosnia,"['fortress', 'history']",1.0
Sarajevo Spite House (Inat kuća),sarajevo,A house moved stone by stone from one side of the river to the other to make room for the City Hall.,other heritage/leisure,Ottoman/Austro-Hungarian,43.8589,18.4328,"house, Sarajevo, legend, tradition",All year,1 hour,A,The house remains a symbol of Bosnian defiance and stubbornness against authority.,https://en.wikipedia.org/wiki/Inat_kuća,3,1,1,1,1,Multi-Era,Sarajevo Region,['other heritage/leisure'],1.0
Prusac (Ajvatovica),donji vakuf,"The site of the largest Muslim pilgrimage in Europe, celebrating a 500-year-old legend.",religious,Ottoman,44.0933,17.3886,"pilgrimage, tradition, forest, religion",Summer,2 hours,B,"According to legend, Ajvaz Dedo prayed for 40 days for water until a massive rock split in half.",https://en.wikipedia.org/wiki/Ajvatovica,2,0,1,0,0,Ottoman,Central Bosnia,['religious'],2.0
Buna Canals (Bunski Kanali),mostar,"A stunning natural phenomenon where the turquoise Buna river flows into the Neretva through a narrow, dynamically sculpted limestone canyon shelf.",nature,Natural,43.2389,17.8361,"river, nature, Mostar, water, canyon, canals, junction, rapids",Summer,1 hour,B,"It is one of the most unique and beautiful natural river junctions in the Balkans, carving an island-like pathway through the rock layers.",https://en.wikipedia.org/wiki/Bunski_kanali,2,0,1,0,0,Other,Herzegovina,['nature'],1.0
Jewish Cemetery,sarajevo,"The second largest Jewish burial ground in Europe, after the one in Prague.",monument,Medieval/Modern,43.8503,18.4069,"cemetery, Jewish, history, UNESCO nominee",All year,1 hour,B,The cemetery features unique 'Sarajevo-style' tombstones that resemble medieval stećci.,"https://en.wikipedia.org/wiki/Jewish_Cemetery,_Sarajevo",2,1,1,1,1,Multi-Era,Sarajevo Region,"['monument', 'history']",1.0
Kulen Vakuf Fortress (Ostrovica),kulen vakuf,A massive medieval fortress overlooking the Una river valley in the Una National Park.,fortress,Medieval,44.5611,16.0861,"castle, Una, nature, history",Summer,1.5 hours,C,The fortress was a key strategic point between the Ottoman and Austro-Hungarian empires.,https://en.wikipedia.org/wiki/Ostrovica_Castle,1,0,1,0,0,Medieval,Krajina,"['fortress', 'history', 'nature']",1.5
Roman Bridge at Plandište,"ilidža, sarajevo",A bridge built in the 16th century using authentic Roman stone blocks from nearby ruins.,monument,Ottoman,43.8294,18.2708,"bridge, Roman, history, Ilidža",All year,30 min,B,"Despite its name, the bridge is Ottoman, but it gets the name from the Roman stones used in its construction.",https://en.wikipedia.org/wiki/Roman_Bridge_in_Ilidža,2,1,1,1,1,Ottoman,Central Bosnia,"['monument', 'history']",0.5
Husein-kapetan Gradaščević House,gradačac,The family home of the leader of the Bosnian uprising against the Ottoman Empire.,monument,Ottoman,44.8814,18.43,"history, Gradačac, architecture, hero",All year,1 hour,B,The interior is preserved with authentic 19th-century furniture and personal belongings of the Captain.,https://en.wikipedia.org/wiki/Husein_Gradaščević,2,1,1,1,1,Ottoman,Northern Bosnia,"['monument', 'history']",1.0
Tešanj Clock Tower,tešanj,One of the few clock towers in Bosnia that still keeps accurate time for the local community.,monument,Ottoman,44.6117,17.9867,"clock tower, Tešanj, history, landmark",All year,15 min,B,The tower has survived several major fires and wars throughout its 300-year history.,https://en.wikipedia.org/wiki/Tešanj,2,1,1,1,1,Ottoman,Northern Bosnia,"['monument', 'history', 'fortress']",0.25
Zavala Monastery,ravno,"A Serbian Orthodox monastery carved into a cliff, dating back to the 9th century according to legend.",religious,Medieval,42.8483,17.9789,"monastery, Orthodox, cliff, history",All year,1 hour,C,"The monastery is located at the edge of Popovo Polje, one of the largest karst fields in the world.",https://en.wikipedia.org/wiki/Zavala_Monastery,1,1,1,1,1,Medieval,Herzegovina,"['religious', 'history']",1.0
Srebrenik Old Town,srebrenik,The ruins of the old administrative center surrounding the famous Srebrenik fortress.,archaeological,Medieval/Ottoman,44.704,18.5215,"ruins, history, Srebrenik, town",Spring-Summer,1 hour,C,Excavations have revealed several layers of habitation dating back to the prehistoric era.,https://en.wikipedia.org/wiki/Srebrenik_Fortress,1,1,1,0,0,Multi-Era,Northern Bosnia,"['archaeological', 'history']",1.0
Dumana Spring and Bridge,livno,"The breathtaking karst spring of the Bistrica river bursting out of a mountain cavern at the foot of Basajkovac hill, framed beautifully by an Ottoman-era stone bridge.",nature,Natural/Ottoman,43.8297,17.0097,"spring, river, nature, Livno, cave, bridge, Ottoman, karst",All year,45 min,C,"The roaring natural spring is named Duman, mimicking the historical Slavic word for the smoke-like mist created by the crashing water.",https://en.wikipedia.org/wiki/Livno,1,1,1,1,1,Ottoman,Central Bosnia,"['nature', 'history']",0.75
Vranduk Fortress,zenica,"A medieval table fortress located on a hill above the Bosna river, once a residence of kings.",fortress,Medieval,44.2925,17.9042,"castle, medieval, kings, Zenica, defense",Spring-Summer,1 hour,B,Vranduk is known as the 'Gate of Bosnia' because it controlled the main north-south valley.,https://en.wikipedia.org/wiki/Vranduk_Fortress,2,1,1,0,0,Medieval,Central Bosnia,"['fortress', 'history']",1.0
Old Town Stolac (Vidoški),stolac,"A massive stone fortress with 13 towers, one of the largest in Bosnia and Herzegovina.",fortress,Medieval/Ottoman,43.0831,17.9547,"castle, Stolac, fortification, panoramic",All year,2 hours,B,The fortress sits on a site that has been fortified since the Illyrian and Roman times.,https://en.wikipedia.org/wiki/Stolac_Fortress,2,1,1,1,1,Multi-Era,Herzegovina,['fortress'],2.0
Sokolac Fortress,bihać,A unique medieval tower perched on a steep hill overlooking the Una river valley.,fortress,Medieval,44.7861,15.8953,"tower, Bihać, Una, medieval, photography",Spring-Autumn,1 hour,C,The fortress was a key strategic point for the Frankopan family during the medieval era.,https://en.wikipedia.org/wiki/Sokolac_Fortress,1,1,1,1,0,Medieval,Krajina,"['fortress', 'history']",1.0
Vrelo Bosne,"ilidža, sarajevo","The source of the Bosna river, featuring a park with thermal springs and Austro-Hungarian bridges.",nature,Austro-Hungarian,43.8197,18.2694,"nature, park, river, Sarajevo, family",Spring-Summer,2-3 hours,A,Visitors often arrive via a 3.5 km long alley of plane and chestnut trees in horse-drawn carriages.,https://en.wikipedia.org/wiki/Vrelo_Bosne,3,1,1,0,0,Modern,Central Bosnia,['nature'],2.5
Herceg Stjepan Fortress,blagaj,"The ruins of a fortress once belonging to the Duke of St. Sava, overlooking the Blagaj Tekke.",fortress,Medieval,43.2597,17.8914,"castle, Blagaj, history, panoramic, Duke Stjepan",Spring-Autumn,1.5 hours,B,"It was the seat of the Kosača noble family, who gave the region of Herzegovina its name.",https://en.wikipedia.org/wiki/Blagaj_Fortress,2,1,1,1,0,Medieval,Herzegovina,"['fortress', 'history']",1.5
Bijela Tabija (White Fortress),sarajevo,"A national monument overlooking the city, part of the old Vratnik walled city.",fortress,Ottoman,43.8617,18.4433,"viewpoint, Sarajevo, fortification, sunset",All year,1 hour,A,It offers one of the best panoramic views of Sarajevo's skyline and the Miljacka canyon.,https://en.wikipedia.org/wiki/Vratnik,3,1,1,1,1,Ottoman,Sarajevo Region,['fortress'],1.0
Žuta Tabija (Yellow Bastion),sarajevo,An 18th-century cannon fortress that served as a key point in the city's defense.,fortress,Ottoman,43.8606,18.4386,"viewpoint, Ramadan, history, Sarajevo",Spring-Summer,45 min,A,"During Ramadan, a cannon is fired from here to mark the time for Iftar (breaking the fast).",https://en.wikipedia.org/wiki/Yellow_Bastion,3,1,1,0,0,Ottoman,Sarajevo Region,"['fortress', 'history']",0.75
Atmejdan Park & Archeological Site,sarajevo,An urban park containing the ruins of the 16th-century Bakr-Baba Mosque and a traditional madrasa.,archaeological,Ottoman,43.8572,18.4303,"park, ruins, Sarajevo, history",All year,30 min,B,"The name 'Atmejdan' literally means 'Horse Square' in Turkish, as it was a horse market.",https://en.wikipedia.org/wiki/Atmejdan,2,1,1,1,1,Ottoman,Sarajevo Region,"['archaeological', 'history']",0.5
Museum of the Jews of BiH,sarajevo,"Located in the oldest synagogue in Sarajevo (Old Temple), showcasing 450 years of Jewish history.",museum,Ottoman,43.8594,18.4281,"Jewish, synagogue, history, Sarajevo, museum",All year,1 hour,B,The museum is housed in a building from 1581 that survived multiple fires and wars.,https://en.wikipedia.org/wiki/Museum_of_the_Jews_of_Bosnia_and_Herzegovina,2,1,1,1,1,Ottoman,Sarajevo Region,"['museum', 'history']",1.0
